hotel_name,hotel_rating,city,amenities,hotel_price
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,Delhi,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",8141.0
Sarovar Portico Naraina,3.9,Delhi,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle",4536.0
Hyatt Centric Janakpuri New Delhi,3.8,Delhi,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",7484.0
"Taj Palace, New Delhi",4.7,Delhi,"5-star hotel, Breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",15050.0
The Pamposh,3.7,Delhi,"3-star hotel, Free breakfast, Free Wi-Fi, Air conditioning, Restaurant, Full-service laundry, Business center, Kid-friendly, 0",3931.0
Caves by Craftels,4.7,Delhi,"Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Spa, Restaurant, Room service",5040.0
Bloomrooms @ Janpath,4.4,Delhi,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Full-service laundry",6451.0
Ramada by Wyndham New Delhi Pitampura,3.9,Delhi,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Accessible",6305.0
Bloom Boutique | GK-1,4.2,Delhi,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Full-service laundry",4659.0
The Grand Parisian,4.2,Delhi,"3-star hotel, Free breakfast, Wi-Fi, Air conditioning, Restaurant, Room service, Full-service laundry, Kid-friendly, 0",4673.0
amigosindia,4.5,Delhi,"1-star hotel, Breakfast, Free Wi-Fi, Paid parking, Air conditioning, Pet-friendly, Restaurant, Kitchen, Airport shuttle",706.0
Holiday Inn Express New Delhi Int'l Airport T3,4.2,Delhi,"3-star hotel, Free breakfast, Free Wi-Fi, Air conditioning, Fitness center, Spa, Paid parking, Bar, Restaurant",14081.0
Treebo Trend Lazystay Grand - Hotel in Bhubaneswar,4.1,Bhubaneswar,"Free breakfast, Free Wi-Fi, Paid parking, Pool, Restaurant, Room service, Kitchen, Full-service laundry, 0",2920.0
"MAYFAIR Convention, Bhubaneswar",4.5,Bhubaneswar,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Hot tub, Air conditioning, Fitness center, Spa, Bar",6476.0
Hello Stay Hotel Bhubaneswar,4.2,Bhubaneswar,"Breakfast, Free Wi-Fi, Paid parking, Air conditioning, Kitchen, Airport shuttle, Full-service laundry, Kid-friendly, 0",1231.0
Hotel SJ Pride,4.8,Bhubaneswar,"2-star hotel, Free Wi-Fi, Pool, Restaurant, Kitchen, Airport shuttle, Full-service laundry, 0, 0",1239.0
Empires Hotel Bhubaneswar,4.1,Bhubaneswar,"3-star hotel, Breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Fitness center, Spa, Bar",3646.0
"Mango Hotels–Prangan, Bhubaneswar",4.1,Bhubaneswar,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle",3126.0
Mayfair Lagoon,4.6,Bhubaneswar,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",10779.0
Venus Inn Restaurant,4.1,Bhubaneswar,"4-star hotel, Free breakfast, Free Wi-Fi, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry, Kid-friendly",1948.0
Ginger Bhubaneshwar,3.9,Bhubaneswar,"2-star hotel, Free Wi-Fi, Paid parking, Air conditioning, Fitness center, Breakfast, Full-service laundry, Kid-friendly, 0",2959.0
THE GREENSTAR INN PREMIUM,4.6,Bhubaneswar,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Kitchen, 0",1512.0
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,Bhubaneswar,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Restaurant, Room service",3782.0
Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,4.3,Bhubaneswar,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant",6215.0
"Vivanta Bhubaneswar, DN Square",4.6,Bhubaneswar,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa",9089.0
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,Bhubaneswar,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",7616.0
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,Bhubaneswar,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant",3395.0
Super OYO Townhouse 235 Swain Heritage,4.4,Bhubaneswar,"Apartment, Sleeps 4, 2 bedrooms, Air conditioning, Cable TV, Free Wi-Fi, No airport shuttle, No beach access, No elevator",2044.0
Treebo Trend Oasis,4.2,Bhubaneswar,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Kitchen, Full-service laundry",2854.0
The Westin Goa,4.6,Goa,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar",20650.0
The LaLiT Golf & Spa Resort Goa,4.4,Goa,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",16756.0
Casa Seaesta Beach Cottages and Suites,3.6,Goa,"Sleeps 6, 2 bedrooms, Air conditioning, Airport shuttle, Pool, Smoke-free, Free parking, Free Wi-Fi, No beach access",2466.0
Radisson Resort Goa Baga,4.8,Goa,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",4397.0
W Goa,4.5,Goa,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa",7435.0
"The Hosteller Goa, Arpora",4.3,Goa,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, 0, 0, 0",1157.0
Grand Hyatt Goa,4.6,Goa,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",20307.0
Little India Beach Cottages,4.0,Goa,"House, Sleeps 10, 5 bedrooms, 5 bathrooms, Air conditioning, Pool, Free parking, Free Wi-Fi, No airport shuttle",6947.0
"Holiday Inn Resort Goa, an IHG Hotel",4.6,Goa,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Beach access",11934.0
Agonda Paradise Beach Huts,4.2,Goa,"Sleeps 9, 3 bedrooms, Air conditioning, Fireplace, Cable TV, Paid parking, Free Wi-Fi, No beach access, No crib",4200.0
Pitruchaya Sea View Cottages by Vyom Trails,4.1,Goa,"0, 0, 0, 0, 0, 0, 0, 0, 0",1617.0
"Whoopers Boutique Hotel, Anjuna",4.9,Goa,"0, 0, 0, 0, 0, 0, 0, 0, 0",1612.0
"The Hosteller Goa, Candolim",4.7,Goa,"Free Wi-Fi, Free parking, Pool, Air conditioning, Breakfast, 0, 0, 0, 0",1315.0
Tropical Bay,3.8,Goa,"Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Bar, Kitchen, Kid-friendly, 0",1344.0
Cola Goa Beach Resort,4.3,Goa,"Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Spa, Beach access, Bar",12744.0
Blue Lagoon Resort | Room & Restaurant,3.9,Goa,"Villa, Sleeps 8, 3 bedrooms, Fireplace, Paid parking, Free Wi-Fi, No air conditioning, No crib, No elevator",4487.0
Radisson Blu Resort Goa Cavelossim Beach,4.4,Goa,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",15898.0
"Vivanta Goa, Miramar",4.5,Goa,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Pet-friendly, Fitness center, Restaurant, Room service",11788.0
Mayfair on Sea,4.5,Goa,"0, 0, 0, 0, 0, 0, 0, 0, 0",10620.0
"The Zuri White Sands, Goa Resort & Casino",4.4,Goa,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa",16795.0
